iter	RMSE
0	11723.16356
1	11374.28786
2	11042.34305
3	10735.92942
4	10419.74162
5	10117.96403
6	9843.835237
7	9561.698614
8	9307.132707
9	9073.246577
10	8853.60183
11	8626.556523
12	8421.519802
13	8220.966716
14	8022.320716
15	7839.068644
16	7646.449489
17	7482.599321
18	7306.43133
19	7151.090745
20	7005.241675
21	6855.917174
22	6751.563344
23	6621.9597
24	6499.518269
25	6399.240872
26	6283.85221
27	6179.838135
28	6107.815888
29	6009.782579
30	5922.176417
31	5847.293924
32	5763.042229
33	5676.0951
34	5607.056898
35	5535.366357
36	5467.514697
37	5408.575582
38	5349.11006
39	5300.947447
40	5249.865244
41	5197.990487
42	5152.522335
43	5110.375959
44	5062.695385
45	5018.499577
46	4982.350044
47	4944.13695
48	4912.140341
49	4887.374409
50	4854.27338
51	4827.663295
52	4797.826759
53	4769.837745
54	4744.60912
55	4716.270309
56	4696.087106
57	4676.314153
58	4653.582329
59	4634.653394
60	4615.19606
61	4595.010666
62	4580.675826
63	4564.892886
64	4549.44629
65	4537.185659
66	4520.290999
67	4510.516593
68	4496.762439
69	4486.151746
70	4476.007001
71	4467.833929
72	4456.605588
73	4445.153306
74	4435.413624
75	4427.727523
76	4418.66771
77	4409.534922
78	4401.251158
79	4395.689315
80	4389.712565
81	4383.512666
82	4377.190697
83	4373.431909
84	4363.175235
85	4359.796922
86	4355.112212
87	4353.763131
88	4346.858977
89	4340.722358
90	4338.543551
91	4333.541137
92	4325.225608
93	4320.691419
94	4316.869756
95	4314.956896
96	4312.262137
97	4307.363679
98	4298.568353
99	4293.364241
100	4288.574844
101	4281.91849
102	4276.882173
103	4272.851705
104	4268.118166
105	4262.297316
106	4258.335768
107	4251.054465
108	4246.012667
109	4240.749162
110	4236.252888
111	4233.298194
112	4229.901875
113	4226.518445
114	4224.119008
115	4220.160974
116	4217.66727
117	4215.315207
118	4213.67929
119	4210.714156
120	4206.908703
121	4203.594027
122	4200.960801
123	4195.754081
124	4192.57547
125	4190.993712
126	4187.126704
127	4182.586813
128	4180.186516
129	4176.348932
130	4176.148264
131	4173.527844
132	4171.004363
133	4169.161544
134	4165.832491
135	4162.874621
136	4159.878694
137	4157.37463
138	4154.226235
139	4150.683009
140	4147.151538
141	4144.437436
142	4142.238067
143	4137.441336
144	4136.637546
145	4135.433654
146	4131.265526
147	4127.99286
148	4127.807853
149	4124.705074
150	4122.495314
151	4120.428139
152	4117.710475
153	4114.292886
154	4110.621404
155	4107.498153
156	4104.411442
157	4098.229354
158	4096.766987
159	4093.761805
160	4092.143611
161	4088.312781
162	4086.485973
163	4084.17729
164	4082.308821
165	4079.474858
166	4078.955666
167	4076.409651
168	4074.771259
169	4073.26942
170	4070.722906
171	4065.728996
172	4060.39024
173	4058.030754
174	4056.151874
175	4052.686497
176	4048.822787
177	4046.080101
178	4042.64627
179	4036.740874
180	4035.447498
181	4032.611575
182	4025.772114
183	4021.981136
184	4019.882855
185	4017.798158
186	4013.450027
187	4011.971253
188	4011.809232
189	4009.960602
190	4008.316058
191	4007.418825
192	4006.69769
193	4005.300246
194	4004.161568
195	3997.94636
196	3996.03832
197	3994.367739
198	3992.571632
199	3991.379488
200	3989.926733
201	3988.239295
202	3987.44964
203	3981.164901
204	3980.212476
205	3979.394132
206	3978.551433
207	3976.784235
208	3976.483513
209	3972.754034
210	3971.509558
211	3970.57793
212	3969.909139
213	3967.428238
214	3966.773425
215	3965.191944
216	3964.021587
217	3961.726918
218	3960.574746
219	3959.503275
220	3957.513756
221	3954.448176
222	3950.767074
223	3949.648826
224	3948.625559
225	3947.583745
226	3945.796932
227	3943.871436
228	3942.326612
229	3941.068882
230	3936.389995
231	3934.870226
232	3931.861628
233	3929.704578
234	3929.080778
235	3928.845779
236	3928.308005
237	3927.526374
238	3926.599594
239	3925.024934
240	3924.076931
241	3923.707405
242	3923.107307
243	3921.637339
244	3920.364445
245	3919.665022
246	3917.083168
247	3915.999364
248	3914.621073
249	3913.457615
250	3911.586234
251	3910.925234
252	3909.404478
253	3908.795597
254	3907.597462
255	3906.443341
256	3902.305218
257	3899.229019
258	3896.271606
259	3895.538955
260	3894.861414
261	3892.230961
262	3891.684322
263	3890.976479
264	3888.102424
265	3887.396484
266	3886.277818
267	3882.4301
268	3880.563598
269	3880.001905
270	3879.474066
271	3876.642401
272	3875.993153
273	3874.940836
274	3874.36734
275	3873.299376
276	3870.041512
277	3868.936245
278	3866.582582
279	3865.945957
280	3863.233541
281	3862.222326
282	3861.458425
283	3859.390992
284	3858.63886
285	3858.257294
286	3857.251868
287	3856.879905
288	3855.624872
289	3853.834973
290	3852.060889
291	3849.045058
292	3847.889712
293	3846.009151
294	3845.584788
295	3843.47518
296	3843.008433
297	3840.720079
298	3840.365382
299	3839.927616
300	3838.188035
301	3833.881794
302	3832.04459
303	3831.125585
304	3830.710735
305	3829.897357
306	3829.521654
307	3829.104814
308	3827.631315
309	3827.290369
310	3826.446588
311	3826.215765
312	3825.987856
313	3823.785749
314	3821.587618
315	3819.094587
316	3816.61609
317	3815.956496
318	3813.571761
319	3813.276458
320	3812.39678
321	3808.890826
322	3806.591393
323	3800.117088
324	3798.489122
325	3795.747218
326	3795.558768
327	3793.895173
328	3791.033969
329	3790.27815
330	3784.119381
331	3783.639042
332	3783.381692
333	3781.081286
334	3778.703338
335	3777.550886
336	3777.088915
337	3776.604484
338	3775.710841
339	3774.003623
340	3771.716122
341	3771.567342
342	3769.272302
343	3766.457124
344	3763.840077
345	3763.529348
346	3760.869354
347	3760.538446
348	3759.259131
349	3757.785877
350	3751.941551
351	3750.266582
352	3748.007625
353	3746.058005
354	3744.028321
355	3742.734086
356	3741.146638
357	3737.336294
358	3734.143259
359	3733.569747
360	3732.947023
361	3732.340134
362	3732.034976
363	3730.4198
364	3730.189926
365	3726.489025
366	3726.145778
367	3725.935603
368	3724.039668
369	3721.637751
370	3719.915666
371	3719.59047
372	3717.69435
373	3716.705922
374	3712.368852
375	3710.87315
376	3705.435773
377	3704.963249
378	3704.268324
379	3702.804814
380	3701.142712
381	3696.523936
382	3696.209301
383	3694.900034
384	3692.568699
385	3691.583989
386	3688.715364
387	3687.625518
388	3685.378448
389	3682.478987
390	3678.033056
391	3675.328644
392	3674.981006
393	3672.649911
394	3672.038353
395	3669.581215
396	3668.804137
397	3668.64084
398	3667.494481
399	3666.194362
400	3665.83677
401	3664.700583
402	3664.018788
403	3663.83393
404	3661.871623
405	3661.047873
406	3658.78731
407	3655.496593
408	3649.291732
409	3648.053887
410	3647.174686
411	3645.293738
412	3645.123323
413	3638.390713
414	3638.083653
415	3637.630069
416	3636.515878
417	3635.99675
418	3634.611736
419	3633.217982
420	3631.169568
421	3629.947039
422	3627.857009
423	3625.84767
424	3622.184771
425	3617.948897
426	3615.206848
427	3615.122547
428	3614.427512
429	3611.997536
430	3609.979808
431	3609.493927
432	3608.958234
433	3606.365304
434	3602.86493
435	3600.909511
436	3600.4053
437	3599.984915
438	3595.080533
439	3594.768367
440	3592.800716
441	3588.289737
442	3583.975477
443	3582.240347
444	3582.025232
445	3579.879744
446	3579.532369
447	3579.2796
448	3574.620866
449	3571.458871
450	3570.21592
451	3568.80204
452	3566.982095
453	3563.696593
454	3558.719139
455	3557.846816
456	3556.398735
457	3555.813695
458	3551.539694
459	3549.469189
460	3545.436709
461	3544.204627
462	3541.10231
463	3540.347687
464	3538.531746
465	3538.095809
466	3538.032587
467	3535.830919
468	3532.910608
469	3530.457435
470	3528.474511
471	3526.796401
472	3524.658844
473	3523.115632
474	3522.063744
475	3520.035185
476	3519.826531
477	3517.04012
478	3516.888934
479	3513.254796
480	3511.291028
481	3508.707337
482	3506.18007
483	3505.013867
484	3503.300399
485	3502.161671
486	3500.220884
487	3500.004597
488	3499.15455
489	3497.46964
490	3495.614263
491	3492.883131
492	3492.683409
493	3491.734148
494	3490.551095
495	3490.061937
496	3489.604721
497	3485.822869
498	3484.986184
499	3483.394443
500	3483.125672
501	3478.243307
502	3478.102753
503	3476.008036
504	3475.414493
505	3475.169905
506	3474.251066
507	3473.126153
508	3471.687034
509	3469.821632
510	3465.626865
511	3463.019956
512	3462.06091
513	3461.824247
514	3460.549534
515	3456.433296
516	3454.230766
517	3453.646634
518	3450.978299
519	3448.724474
520	3447.681232
521	3445.045685
522	3440.255628
523	3438.779848
524	3437.682962
525	3436.662501
526	3436.560934
527	3436.101594
528	3435.828055
529	3433.743498
530	3431.747855
531	3428.32074
532	3428.104109
533	3425.396469
534	3423.730798
535	3420.456575
536	3418.780946
537	3417.212383
538	3415.663236
539	3415.465017
540	3414.114698
541	3411.652909
542	3410.456898
543	3408.544539
544	3408.009578
545	3407.777055
546	3407.137249
547	3406.069927
548	3405.953299
549	3405.735934
550	3405.005941
551	3402.186652
552	3400.215929
553	3398.245563
554	3397.561346
555	3396.34632
556	3396.097138
557	3392.55754
558	3392.384648
559	3388.037543
560	3385.619282
561	3383.181113
562	3383.040027
563	3382.042417
564	3380.282148
565	3379.725197
566	3379.489881
567	3378.196164
568	3375.912437
569	3374.773827
570	3374.490681
571	3372.837045
572	3369.337456
573	3367.955716
574	3365.459004
575	3365.043715
576	3363.321149
577	3361.702861
578	3361.566325
579	3361.176041
580	3360.298714
581	3360.095074
582	3360.00545
583	3357.567612
584	3357.187028
585	3356.31923
586	3355.527233
587	3355.086921
588	3352.609273
589	3349.777845
590	3347.361627
591	3345.871961
592	3343.451993
593	3340.823474
594	3340.630342
595	3336.610567
596	3332.723138
597	3331.333187
598	3330.181722
599	3327.847698
600	3325.980779
601	3325.482855
602	3324.513164
603	3323.693904
604	3322.327702
605	3321.716255
606	3319.743529
607	3316.999902
608	3315.681329
609	3314.351912
610	3311.239483
611	3308.979512
612	3306.519725
613	3305.793772
614	3303.570913
615	3302.295535
616	3302.069284
617	3301.47823
618	3301.036918
619	3300.244954
620	3298.682596
621	3297.442523
622	3297.014617
623	3294.951829
624	3292.878242
625	3292.692081
626	3292.053095
627	3289.974731
628	3288.500544
629	3286.66938
630	3285.606969
631	3281.675562
632	3279.923025
633	3278.879636
634	3277.382852
635	3277.239436
636	3276.717207
637	3273.355275
638	3271.096758
639	3267.74609
640	3266.29735
641	3265.73204
642	3264.146199
643	3262.831504
644	3259.647286
645	3258.134401
646	3257.300304
647	3255.884162
648	3253.595945
649	3251.47228
650	3250.67901
651	3248.273741
652	3247.725311
653	3245.571162
654	3244.804971
655	3243.777063
656	3241.725513
657	3240.56379
658	3239.148501
659	3235.629767
660	3234.825425
661	3232.557556
662	3231.43752
663	3230.968731
664	3228.650042
665	3228.249762
666	3227.442115
667	3225.102449
668	3224.966452
669	3224.787376
670	3223.933422
671	3223.532967
672	3221.688144
673	3220.669952
674	3219.338215
675	3217.544347
676	3216.371568
677	3213.430381
678	3212.520156
679	3212.36183
680	3211.23945
681	3209.606984
682	3207.53865
683	3207.375437
684	3205.383325
685	3204.695194
686	3204.434204
687	3203.203389
688	3202.520652
689	3200.17902
690	3199.756351
691	3199.525711
692	3196.61885
693	3196.468157
694	3196.092405
695	3194.687584
696	3194.528151
697	3191.705171
698	3191.193201
699	3190.471304
700	3189.205178
701	3187.706726
702	3184.434719
703	3183.030946
704	3182.924715
705	3182.484592
706	3181.496321
707	3179.991876
708	3179.236949
709	3177.801677
710	3176.597071
711	3174.821578
712	3173.457917
713	3171.168576
714	3170.162757
715	3167.74489
716	3166.698245
717	3165.742013
718	3164.512347
719	3162.096108
720	3161.197479
721	3159.794215
722	3159.098402
723	3158.29728
724	3157.559385
725	3156.03351
726	3154.979242
727	3154.113245
728	3153.160071
729	3151.729562
730	3151.186187
731	3150.84472
732	3149.946985
733	3147.270949
734	3146.547346
735	3141.274597
736	3140.32475
737	3138.940487
738	3137.607635
739	3134.513238
740	3134.39338
741	3132.204863
742	3130.581392
743	3128.633962
744	3126.102724
745	3125.986732
746	3124.870642
747	3123.937501
748	3123.455732
749	3122.682897
750	3122.198638
751	3119.79274
752	3116.671489
753	3115.03533
754	3113.145826
755	3111.835631
756	3109.046124
757	3107.056546
758	3106.31835
759	3104.970416
760	3102.232808
761	3100.710847
762	3100.119671
763	3098.29795
764	3096.501759
765	3095.938436
766	3095.303575
767	3093.553102
768	3091.668405
769	3090.103908
770	3089.758758
771	3089.294543
772	3087.151097
773	3085.02316
774	3084.894975
775	3084.490444
776	3084.086588
777	3083.732036
778	3083.289451
779	3082.961855
780	3082.279679
781	3081.141572
782	3080.214067
783	3079.701174
784	3078.843261
785	3078.413004
786	3076.807942
787	3075.828398
788	3073.140958
789	3068.181596
790	3067.158049
791	3066.799702
792	3064.67136
793	3064.048451
794	3063.781914
795	3059.029159
796	3058.350686
797	3058.095189
798	3057.241363
799	3057.003071
800	3056.588248
801	3054.552623
802	3052.566616
803	3050.959071
804	3049.639513
805	3048.176859
806	3043.636115
807	3041.849976
808	3037.479441
809	3034.280254
810	3032.888528
811	3031.70732
812	3030.258657
813	3029.862201
814	3028.961744
815	3027.346339
816	3025.411234
817	3023.59191
818	3022.727378
819	3018.559479
820	3014.603256
821	3014.217238
822	3012.405548
823	3011.556667
824	3011.180076
825	3009.791529
826	3008.417565
827	3007.543911
