iter	Passed	Remaining
0	229	229134
1	232	116093
2	234	77821
3	237	59154
4	240	47879
5	243	40338
6	246	34975
7	249	30947
8	253	27861
9	256	25374
10	257	23162
11	260	21477
12	263	20028
13	265	18669
14	268	17621
15	271	16688
16	274	15863
17	277	15115
18	279	14455
19	283	13899
20	286	13369
21	289	12878
22	290	12344
23	293	11932
24	296	11569
25	297	11161
26	299	10797
27	301	10459
28	302	10119
29	303	9825
30	306	9588
31	307	9314
32	311	9123
33	314	8934
34	316	8729
35	319	8557
36	322	8392
37	325	8236
38	328	8098
39	331	7958
40	334	7827
41	337	7698
42	340	7577
43	343	7462
44	345	7335
45	347	7199
46	349	7096
47	352	6998
48	356	6910
49	357	6798
50	360	6712
51	363	6632
52	365	6538
53	368	6464
54	374	6434
55	377	6367
56	381	6309
57	384	6251
58	388	6200
59	391	6136
60	394	6076
61	397	6014
62	399	5936
63	404	5918
64	408	5869
65	410	5816
66	414	5766
67	420	5756
68	423	5718
69	427	5685
70	433	5670
71	436	5622
72	438	5571
73	441	5521
74	443	5472
75	445	5421
76	449	5384
77	451	5332
78	453	5281
79	454	5226
80	456	5175
81	457	5125
82	459	5076
83	460	5017
84	462	4979
85	463	4930
86	466	4890
87	466	4835
88	468	4791
89	469	4749
90	470	4699
91	472	4662
92	474	4623
93	475	4585
94	477	4552
95	478	4506
96	479	4467
97	481	4431
98	483	4396
99	484	4361
100	486	4328
101	487	4294
102	489	4262
103	491	4237
104	493	4208
105	495	4176
106	496	4145
107	498	4115
108	499	4086
109	501	4057
110	503	4029
111	504	4000
112	506	3978
113	508	3953
114	510	3926
115	511	3899
116	513	3873
117	514	3848
118	516	3823
119	518	3798
120	519	3774
121	521	3755
122	523	3733
123	525	3710
124	526	3687
125	527	3661
126	529	3640
127	531	3618
128	532	3598
129	534	3576
130	534	3548
131	537	3531
132	538	3512
133	540	3492
134	541	3472
135	543	3452
136	545	3433
137	546	3413
138	548	3394
139	549	3376
140	552	3363
141	553	3346
142	555	3330
143	557	3313
144	558	3293
145	560	3275
146	561	3258
147	563	3242
148	563	3221
149	566	3207
150	568	3195
151	570	3180
152	571	3163
153	573	3148
154	574	3132
155	576	3116
156	577	3101
157	579	3087
158	581	3075
159	583	3063
160	585	3049
161	586	3034
162	588	3020
163	589	3006
164	591	2992
165	592	2978
166	593	2961
167	595	2948
168	597	2939
169	599	2926
170	601	2914
171	602	2901
172	604	2888
173	605	2876
174	607	2865
175	609	2852
176	611	2844
177	613	2833
178	615	2822
179	617	2811
180	618	2798
181	620	2786
182	621	2775
183	623	2763
184	624	2752
185	626	2743
186	628	2733
187	630	2722
188	631	2708
189	632	2697
190	634	2687
191	636	2677
192	638	2668
193	640	2659
194	641	2649
195	643	2641
196	645	2630
197	646	2620
198	648	2610
199	650	2600
200	651	2590
201	653	2580
202	654	2570
203	656	2561
204	658	2552
205	659	2541
206	660	2530
207	662	2521
208	663	2510
209	664	2500
210	666	2492
211	668	2483
212	669	2475
213	671	2467
214	673	2458
215	674	2449
216	676	2441
217	678	2432
218	679	2422
219	680	2413
220	682	2406
221	684	2398
222	686	2391
223	687	2383
224	689	2375
225	691	2366
226	692	2358
227	694	2350
228	695	2343
229	697	2334
230	698	2326
231	700	2319
232	702	2311
233	703	2304
234	705	2295
235	705	2285
236	707	2277
237	708	2269
238	710	2262
239	712	2255
240	713	2248
241	715	2241
242	717	2233
243	718	2226
244	720	2219
245	721	2212
246	723	2204
247	725	2198
248	726	2191
249	728	2184
250	729	2177
251	731	2171
252	733	2164
253	734	2157
254	736	2150
255	737	2144
256	739	2137
257	740	2130
258	742	2124
259	744	2117
260	745	2111
261	747	2105
262	749	2098
263	750	2092
264	752	2086
265	753	2079
266	755	2073
267	756	2067
268	758	2061
269	760	2055
270	761	2049
271	763	2043
272	765	2037
273	766	2031
274	768	2025
275	769	2019
276	771	2013
277	773	2007
278	774	2002
279	776	1996
280	778	1990
281	779	1984
282	781	1979
283	782	1973
284	784	1967
285	785	1962
286	787	1956
287	789	1950
288	790	1945
289	792	1939
290	793	1934
291	795	1929
292	797	1924
293	799	1919
294	801	1914
295	802	1908
296	804	1903
297	806	1898
298	807	1893
299	809	1888
300	810	1882
301	812	1877
302	813	1872
303	815	1866
304	816	1861
305	818	1856
306	820	1851
307	821	1846
308	823	1840
309	824	1835
310	826	1830
311	827	1825
312	829	1820
313	830	1815
314	832	1810
315	833	1805
316	835	1800
317	837	1796
318	839	1791
319	840	1786
320	842	1781
321	843	1776
322	845	1771
323	846	1767
324	848	1762
325	850	1757
326	851	1753
327	853	1748
328	854	1743
329	856	1738
330	857	1734
331	859	1729
332	860	1724
333	862	1719
334	863	1715
335	865	1711
336	867	1706
337	869	1702
338	870	1697
339	872	1692
340	873	1688
341	875	1683
342	876	1679
343	878	1674
344	880	1671
345	881	1665
346	883	1662
347	884	1658
348	886	1653
349	888	1649
350	889	1645
351	891	1640
352	892	1636
353	894	1632
354	896	1628
355	897	1624
356	899	1620
357	901	1615
358	902	1611
359	904	1607
360	905	1603
361	907	1599
362	908	1595
363	910	1591
364	912	1587
365	913	1583
366	915	1578
367	916	1573
368	917	1569
369	919	1565
370	920	1561
371	922	1557
372	924	1554
373	926	1550
374	927	1546
375	929	1542
376	931	1538
377	932	1534
378	934	1530
379	935	1526
380	937	1522
381	938	1519
382	940	1515
383	942	1511
384	943	1507
385	945	1503
386	947	1500
387	948	1496
388	950	1492
389	952	1489
390	953	1485
391	956	1483
392	959	1481
393	962	1479
394	964	1477
395	967	1475
396	969	1473
397	973	1471
398	975	1470
399	978	1468
400	981	1466
401	984	1463
402	986	1462
403	989	1459
404	992	1458
405	995	1456
406	997	1454
407	1001	1452
408	1004	1450
409	1006	1448
410	1009	1447
411	1012	1444
412	1015	1443
413	1018	1441
414	1020	1438
415	1023	1436
416	1026	1435
417	1029	1433
418	1032	1431
419	1034	1429
420	1036	1425
421	1038	1422
422	1040	1418
423	1041	1415
424	1043	1411
425	1045	1408
426	1046	1404
427	1048	1401
428	1049	1397
429	1051	1393
430	1052	1390
431	1054	1386
432	1056	1382
433	1057	1379
434	1059	1376
435	1061	1372
436	1062	1369
437	1064	1365
438	1065	1361
439	1067	1358
440	1069	1355
441	1070	1351
442	1072	1348
443	1074	1345
444	1075	1341
445	1077	1337
446	1078	1334
447	1080	1330
448	1081	1327
449	1083	1324
450	1085	1321
451	1086	1317
452	1088	1314
453	1089	1310
454	1091	1307
455	1093	1304
456	1094	1300
457	1096	1297
458	1097	1294
459	1099	1290
460	1101	1287
461	1103	1284
462	1104	1281
463	1106	1277
464	1107	1274
465	1109	1271
466	1110	1267
467	1112	1264
468	1114	1262
469	1116	1258
470	1118	1255
471	1119	1252
472	1121	1249
473	1123	1246
474	1124	1243
475	1126	1239
476	1128	1237
477	1130	1234
478	1132	1232
479	1134	1229
480	1136	1226
481	1138	1223
482	1140	1220
483	1142	1217
484	1144	1214
485	1145	1211
486	1147	1208
487	1149	1205
488	1150	1202
489	1152	1199
